1,2016,Big Ten,3,9,0,0.25,-7.75,3.57,,,,N,Lovie Smith,(3-9)
2,2015,Big Ten,5,7,0,0.417,1.18,3.26,,,,N,Bill Cubit,(5-7)
3,2014,Big Ten,6,7,0,0.462,-2.53,3,,,,N,Tim Beckman,(6-7),Heart of Dallas Bowl,L
4,2013,Big Ten,4,8,0,0.333,-3.86,1.98,,,,N,Tim Beckman,(4-8)
5,2012,Big Ten,2,10,0,0.167,-10.35,2.56,,,,N,Tim Beckman,(2-10)
6,2011,Big Ten,7,6,0,0.538,2.63,1.17,,16,,N,Ron Zook (6-6) Vic Koenning (1-0),,Fight Hunger Bowl,W
7,2010,Big Ten,7,6,0,0.538,7.77,1.47,,,,N,Ron Zook,(7-6),Texas Bowl,W
8,2009,Big Ten,3,9,0,0.25,-3.67,2.24,,,,N,Ron Zook,(3-9)
9,2008,Big Ten,5,7,0,0.417,2.96,2.04,20,20,,N,Ron Zook,(5-7)
10,2007,Big Ten,9,4,0,0.692,8.07,1.76,,13,20,N,Ron Zook,(9-4),Rose Bowl,L
11,2006,Big Ten,2,10,0,0.167,-5.87,1.13,,,,N,Ron Zook,(2-10)
12,2005,Big Ten,2,9,0,0.182,-7.54,7.37,,,,N,Ron Zook,(2-9)
13,2004,Big Ten,3,8,0,0.273,-4.53,1.83,,,,N,Ron Turner,(3-8)
14,2003,Big Ten,1,11,0,0.083,-8.63,4.62,,,,N,Ron Turner,(1-11)
15,2002,Big Ten,5,7,0,0.417,2.56,2.89,,,,N,Ron Turner,(5-7)
16,2001,Big Ten,10,2,0,0.833,12.71,3.79,,7,12,Y,Ron Turner,(10-2),Sugar Bowl,L
17,2000,Big Ten,5,6,0,0.455,2.59,2.31,21,19,,N,Ron Turner,(5-6)
18,1999,Big Ten,8,4,0,0.667,11.4,4.73,,24,24,N,Ron Turner,(8-4),Micron PC Bowl,W
19,1998,Big Ten,3,8,0,0.273,-7.93,3.7,,,,N,Ron Turner,(3-8)
20,1997,Big Ten,0,11,0,0,-12.97,5.4,,,,N,Ron Turner,(0-11)
21,1996,Big Ten,2,9,0,.,-4.52,6.49,,,,N,Lou Tepper,(2-9)
22,1995,Big Ten,5,5,1,0.5,8.85,9.31,,25,,N,Lou Tepper,(5-5-1)
23,1994,Big Ten,7,5,0,0.583,15.41,6.83,21,21,,N,Lou Tepper,(7-5),Liberty Bowl,W
24,1993,Big Ten,5,6,0,0.455,5.44,7.35,,,,N,Lou Tepper,(5-6)
25,1992,Big Ten,6,5,1,0.542,1.88,1.97,,,,N,Lou Tepper,(6-5-1),Holiday Bowl,L
26,1991,Big Ten,6,6,0,0.5,6.77,3.1,,13,,N,John Mackovic (6-5) Lou Tepper (0-1),,Sun Bowl,L
27,1990,Big Ten,8,4,0,0.667,9.13,5.38,11,5,25,Y,John Mackovic,(8-4),Hall of Fame Bowl,L
28,1989,Big Ten,10,2,0,0.833,14.62,4.12,22,8,10,N,John Mackovic,(10-2),Citrus Bowl,W
29,1988,Big Ten,6,5,1,0.542,3.83,2.25,,,,N,John Mackovic,(6-5-1),All-American Bowl,L
30,1987,Big Ten,3,7,1,0.318,-2.07,3.2,,,,N,Mike White,(3-7-1)
31,1986,Big Ten,4,7,0,0.364,0.37,5.37,,,,N,Mike White,(4-7)
32,1985,Big Ten,6,5,1,0.542,7.5,6.75,11,11,,N,Mike White,(6-5-1),Peach Bowl,L
